Size(Bytes);Forward(ns);Reverse(ns);Random(ns)
1024;1.7296;1.7270;1.7296
2048;1.3723;1.3709;1.3682
4096;1.3613;1.3586;1.4036
8192;1.3787;1.3600;1.3576
16384;1.3539;1.3552;1.3561
32768;1.3600;1.3546;1.3890
65536;1.3591;1.3588;2.2943
131072;1.3576;1.3578;2.7357
262144;1.3584;1.3577;2.9932
524288;1.3599;1.3604;4.9524
1048576;1.3607;1.3599;8.7412
2097152;1.3603;1.3605;11.0011
4194304;1.3598;1.3605;11.1195
8388608;1.3596;1.3600;11.3729
16777216;1.3608;1.3600;19.0335
33554432;1.3601;1.3602;53.2707
